id,oldId,title,prompt,text,isHidden,isPg,isFeatured,temperature,topP,createdAt,updatedAt
2681,,Bob the Corgi,Bob the Corgi,"Once upon a time, there was a [adjective] corgi named Bob. Bob loved to [verb] in the park and chase [plural_noun] all day long. One day, Bob found a [color] [noun] in the grass and decided to [verb] it. As a result, Bob's fur turned [adjective] and he became the talk of the town.",false,true,false,0.70,1.00,2025-02-12 20:51:45.985765+00,2025-02-12 20:51:45.985765+00
2682,,Brainrot,brainrot,I can't believe I just saw a [adjective] [noun] [verb] into a [adjective] [noun]. It was the most [adjective] thing I've ever witnessed. I couldn't stop [verb] for hours after that.,false,false,false,0.70,1.00,2025-02-12 20:51:48.836655+00,2025-02-12 20:51:48.836655+00
2683,,The Haunted Teapot,Haunted teapot sings at midnight,"Once upon a time, in a [spooky_place], there was a [adjective] teapot that would often [verb] at midnight. The locals were [emotion] because they believed the teapot was [adjective] by a ghost. Little did they know, the teapot was actually just [verb_ending_in_ing] by a mischievous cat. The [adjective] teapot continued to [verb] at midnight, causing quite a ruckus in the [spooky_place].",false,true,false,0.70,1.00,2025-02-12 20:51:49.908385+00,2025-02-12 20:51:49.908385+00
2684,,Diddy,diddy,"Once upon a time in a [place], a [adjective] [noun] decided to [verb] to the [location]. Along the way, they encountered a [adjective] [animal] who challenged them to a [adjective] [game]. The [animal] was so [adjective] that they ended up winning and the [noun] had to [verb] all the way back home.",false,true,false,0.70,1.00,2025-02-12 20:51:50.903425+00,2025-02-12 20:51:50.903425+00
2685,,The Adventures of Batman,batman,"One dark and stormy night, [adjective] Batman was patrolling the streets of Gotham City, looking for [plural_noun]. Suddenly, he heard a loud [noun] coming from an alley. He quickly ran to the source of the noise and found [adjective] [plural_noun] causing trouble. With his trusty [noun], Batman swiftly defeated the [plural_noun] and saved the day. As he disappeared into the night, the citizens of Gotham City cheered for their [adjective] hero.",false,true,false,0.70,1.00,2025-02-12 20:52:08.454929+00,2025-02-12 20:52:08.454929+00
2686,,The Rizzler Mezing,The Rizzler mezing,"The other day, I went to the [noun] with my [adjective] friend. We decided to [verb] and it was so much fun! We even saw a [noun] there that was so [adjective].",false,true,false,0.70,1.00,2025-02-12 20:52:19.189703+00,2025-02-12 20:52:19.189703+00
2687,,A Day with My Girlfriend,girlfirend,"Last [adjective] Saturday, I took my girlfriend [female_name] to the [adjective] park. We brought along a picnic basket filled with her favorite [plural_noun]. As we sat on the [adjective] blanket, she told me about her dream to travel to [place]. I couldn't help but admire her [adjective] spirit and adventurous nature. We spent the rest of the day [verb_ending_in_ing] and enjoying each other's company.",false,true,false,0.70,1.00,2025-02-12 20:52:26.52924+00,2025-02-12 20:52:26.52924+00
2688,,The Rizzler Mewing,THe Rizzler mewing,"One [adjective] day, the Rizzler was [verb] through the [noun] when it spotted a [adjective] [noun] in the distance. It let out a [sound] meow and [adverb] ran towards the [noun] to investigate. As it got closer, it realized the [noun] was actually a [adjective] [noun] playing with a [noun]. The Rizzler joined in the [noun] and they all had a [adjective] time together.",false,true,false,0.70,1.00,2025-02-12 20:52:33.279816+00,2025-02-12 20:52:33.279816+00
2689,,Home Sweet Homes,home sweet homes,I live in a [adjective] [noun] in the [adjective] [noun]. My [noun] is [color] and my [adjective] dog loves to play in the [noun] outside. My favorite room is the [adjective] [noun] where I like to [verb] and [verb] with my [noun].,false,true,false,0.70,1.00,2025-02-12 20:52:40.208446+00,2025-02-12 20:52:40.208446+00
2690,,Mario Gets Hit By a Goomba,Mario Gets Hit By a Goomba,"One day, Mario was [verb] through the Mushroom Kingdom when he suddenly saw a [adjective] [noun] approaching. It was a Goomba! Mario tried to [verb] away, but the Goomba was too fast. It [adverb] jumped on Mario's head and he let out a [sound] as he fell to the ground. Luckily, Princess Peach was nearby and she [verb] the Goomba away with a swift kick.",false,true,false,0.70,1.00,2025-02-12 20:52:53.530501+00,2025-02-12 20:52:53.530501+00
2691,,Diddy,diddy,"Once upon a time, there was a [noun] named [proper_noun]. [proper_noun] loved to [verb] in the [place]. One day, [proper_noun] found a [adjective] [noun] and decided to [verb] it. Suddenly, [proper_noun] realized that the [noun] belonged to a [adjective] [noun]. [proper_noun] quickly [verb] away, but the [adjective] [noun] chased after [proper_noun] in a fit of rage. [proper_noun] managed to escape and vowed to never [verb] in the [place] again.",false,true,false,0.70,1.00,2025-02-12 20:53:33.615742+00,2025-02-12 20:53:33.615742+00
2692,,The Weird Meeting,The wierd meeting,"Today at the [adjective] meeting, the [noun] brought their pet [animal] and it caused quite a [adjective] scene. The [occupation] tried to calm everyone down, but ended up getting [verb ending in -ed] by the [animal]. It was definitely a meeting we won't soon forget.",false,true,false,0.70,1.00,2025-02-12 20:53:49.029453+00,2025-02-12 20:53:49.029453+00
2693,,Strict School Teachers,strict school teachers,"One time, during [a_holiday], our [adjective] teacher, Mrs. [last_name], caught [name] passing a note in class. She immediately gave [name] a detention for being so [adjective] during her lesson. It was so [adjective] of Mrs. [last_name] to be so strict about [noun].",false,true,false,0.70,1.00,2025-02-12 20:53:54.016212+00,2025-02-12 20:53:54.016212+00
2694,,Messi's Game Day,Messi game,"Today is the day of the big soccer game. [adjective] Messi is feeling [emotion] as he prepares to lead his team to victory. The stadium is filled with [plural_noun] cheering for their favorite team. As the game begins, Messi dribbles past the opposing team's defenders with [adjective] skill. He takes a shot and scores a [adjective] goal, causing the crowd to erupt in [noun]. The game ends with Messi's team winning [number] to [number]. Messi is awarded the [adjective] player of the game, and he celebrates with his teammates, feeling [emotion] and proud of their hard-earned victory.",false,true,false,0.70,1.00,2025-02-12 20:54:01.658951+00,2025-02-12 20:54:01.658951+00
2695,,Lost in the Forest,Lost in the forest,"One day, I was [verb_ing] through the forest when I suddenly heard a [adjective] noise. My heart started [verb_ing] as I realized I was completely [adjective] and had no idea how to find my way out. I tried [verb_ing] in different directions, but everything looked the same. I finally decided to [verb] and hope that someone would come to [verb] me.",false,true,false,0.70,1.00,2025-02-12 20:54:03.56989+00,2025-02-12 20:54:03.56989+00
2696,,A Day with My Girlfriend,girlfriend,"Yesterday, my [adjective] girlfriend and I went for a [adjective] walk in the [noun]. We saw a [adjective] [noun] and decided to [verb] it. After that, we had a [adjective] picnic by the [noun] and enjoyed some [adjective] food together. It was a [adjective] day with my girlfriend.",false,true,false,0.70,1.00,2025-02-12 20:54:21.721039+00,2025-02-12 20:54:21.721039+00
2697,,SMG4 Makes Marios mustache go bye bye!,SMG4 Makes Marios mustache go bye bye!,"One day, [adjective] Mario was walking through the Mushroom Kingdom when he suddenly ran into [a_verb] [adjective] SMG4. SMG4 decided it would be hilarious to play a prank on Mario by using a [noun] to make his mustache disappear. Mario was [emotion] and didn't know what to do without his iconic mustache. He spent the rest of the day searching for a solution and finally found a [adjective] potion that made his mustache grow back even thicker than before!",false,true,false,0.70,1.00,2025-02-12 20:54:22.736596+00,2025-02-12 20:54:22.736596+00
2698,,Valentine's Day Drama,Valentine's Day in drama club,"Every year on Valentine's Day, the drama club puts on a [adjective] performance of [play_title]. The actors and actresses always wear [color] costumes and the stage is decorated with [noun]. This year, [name] will play the lead role and deliver a [adjective] monologue about love. The audience will be filled with [adjective] couples and friends, all enjoying the romantic atmosphere.",false,true,false,0.70,1.00,2025-02-12 20:54:26.639546+00,2025-02-12 20:54:26.639546+00
2699,,Emotions,😭😑🤣😂,I was feeling [adjective] after my friend told a [noun] and I couldn't help but [verb]! It was so [adjective] that I ended up [adverb] [verb] until I couldn't [verb] anymore.,false,true,false,0.70,1.00,2025-02-12 20:54:33.672797+00,2025-02-12 20:54:33.672797+00
2700,,The Abandoned Circus Tent,The abandoned circus tent,"Once upon a time, in a [adjective] circus, there lived a group of [plural_noun]. The circus was [adjective] and [adjective], with colorful [plural_noun] scattered around. The most famous act in the circus was the [adjective] [noun]. One day, the circus performers discovered an [adjective] and [adjective] abandoned circus tent hidden deep in the [noun]. They decided to explore the tent and found [number] [plural_noun] inside.",false,true,false,0.70,1.00,2025-02-12 20:54:52.591204+00,2025-02-12 20:54:52.591204+00
2701,,Sophia and Mila on the school bus,"Sophia and Mila on the school bus ","Sophia and [a_noun] were excited to go on a field trip with their class. As they boarded the school bus, they found a [an_adjective] seat near the back. Sophia was carrying a [a_noun] for the trip, while Mila had packed a [an_adjective] lunch. As the bus started moving, they played [a_plural_noun] game to pass the time.",false,true,false,0.70,1.00,2025-02-12 20:55:10.090261+00,2025-02-12 20:55:10.090261+00
2702,,Exploring the Band Hall,exploring the band hall,"Today, I [verb] into the band hall and was immediately greeted by the sound of [noun]. As I walked further in, I noticed the walls were covered in [adjective] posters of famous musicians. Suddenly, I saw a [noun] sitting on a table, and I couldn't resist picking it up and playing a few [plural_noun]. It was such a fun and [adjective] experience to explore the band hall and immerse myself in the world of music.",false,true,false,0.70,1.00,2025-02-12 20:55:12.374303+00,2025-02-12 20:55:12.374303+00
2703,,The Space Adventure,space,"One day, [adjective] [plural_noun] decided to go on a(n) [adjective] adventure to [place]. They packed their [noun] and set off into the [adjective] unknown. As they traveled through the [adjective] [noun], they encountered a group of [plural_noun] who were also exploring the [place]. Together, they discovered a hidden [noun] and were amazed by its [adjective] beauty. After a thrilling day of exploration, they returned home with unforgettable memories of their space adventure.",false,true,false,0.70,1.00,2025-02-12 20:55:13.526137+00,2025-02-12 20:55:13.526137+00
2704,,Did He Mad Lib,did he,Did [he_she] [verb] to the [adjective] and [adverb] [noun]?,false,true,false,0.70,1.00,2025-02-12 20:55:15.263836+00,2025-02-12 20:55:15.263836+00
2705,,Mystery Manor of Mafia,mystery manor of mafia,"Once upon a time, in a [adjective] mansion on the outskirts of [city], there lived a notorious [occupation_snake_case]. This mysterious figure was known for their [adjective] demeanor and their penchant for [verb_ending_in_ing] in the dead of night. The townspeople whispered about the [adjective] events that took place within the walls of the manor, but no one dared to confront the [occupation_snake_case] for fear of retaliation.",false,true,false,0.70,1.00,2025-02-12 20:55:30.352548+00,2025-02-12 20:55:30.352548+00
2706,,The Mischievous Cat,cat but,"Once upon a time, a [adjective] cat named Whiskers decided to [verb] through the neighborhood. As he [adverb] sprinted across the street, he narrowly avoided a [adjective] but! He then ran into a [noun] and knocked it over, causing quite a commotion. The [adjective] cat continued his adventure, leaving chaos in his wake.",false,true,false,0.70,1.00,2025-02-12 20:55:40.386382+00,2025-02-12 20:55:40.386382+00
2707,,Farting Cats,farting cats,"I have a pet [animal] named [name]. Every time [pronoun] eats [food], [pronoun] starts [verb] and doesn't stop for hours. The sound is so loud that it can be heard from [place]. Sometimes I have to open the windows to let the [adjective] smell out.",false,true,false,0.70,1.00,2025-02-12 20:55:41.036245+00,2025-02-12 20:55:41.036245+00
2708,,The Mysterious Adventure,"ihbinurgurjuerwajoi""atijoerat","Once upon a time, in a [place] far, far away, there lived a [adjective] [animal]. This [animal] loved to [verb] in the [place] and [verb] all day long. One day, while [verb_ending_in_ing], the [animal] stumbled upon a [adjective] [noun] hidden deep in the [place]. The [animal] couldn't believe its [body_part]! It was the most [adjective] [noun] it had ever seen. The [animal] decided to [verb] the [noun] and discovered a [adjective] [noun] inside. The [animal] knew this was the beginning of an incredible adventure!",false,true,false,0.70,1.00,2025-02-12 20:56:09.258682+00,2025-02-12 20:56:09.258682+00
2709,,Fast Food Fiasco,Put the fries in the bag.,"I couldn't believe it when the cashier asked me for [an_adjective] [noun] when all I wanted was to put the fries in the bag. I fumbled through my wallet and finally found [a_number] [plural_noun] to give to the cashier. As I handed over the [plural_noun], I noticed a [color] [adjective] [noun] behind the counter. I couldn't help but wonder if they were the ones responsible for my order mix-up.",false,true,false,0.70,1.00,2025-02-12 20:56:14.034623+00,2025-02-12 20:56:14.034623+00
2710,,Toad's Chaotic Adventure,Toad Screams for chaos!,"Once upon a time in a [place], there lived a mischievous [adjective] toad named [name]. [Name] loved causing chaos by [verb] through the garden and scaring the [plural noun]. One day, [name] decided to pull the ultimate prank by [adverb] sneaking up on the unsuspecting [animal] and giving them a big fright. The chaos that ensued was both hilarious and chaotic!",false,true,false,0.70,1.00,2025-02-12 20:56:21.995867+00,2025-02-12 20:56:21.995867+00
2711,,Toad Screams for Chaos!,Toad Screams for chaos!,"Once upon a time, in a [place], there lived a [adjective] toad named [name]. [Name] loved causing [adjective] chaos wherever he went. One day, [name] decided to [verb] through the [noun] and create absolute madness. The other animals in the [place] were terrified of [name] and his wild antics, but deep down, they couldn't help but admire his [adjective] fearlessness.",false,true,false,0.70,1.00,2025-02-12 20:56:34.866002+00,2025-02-12 20:56:34.866002+00
2712,,Lost in the Desert,Lost in the desert,"I was [verb_ing] through the scorching desert, desperately searching for [a_place]. The sun beat down on my [body_part], causing me to break out in a sweat. As I trudged through the sand, I suddenly spotted a [noun] in the distance. With renewed hope, I raced towards it, only to discover that it was just a mirage.",false,true,false,0.70,1.00,2025-02-12 20:56:45.827001+00,2025-02-12 20:56:45.827001+00
2713,,The Alien Invasion,The alien invasion,"The other day, I was [verb_ing] in the park when suddenly, I saw a [adjective] alien spaceship land right in front of me. I quickly [verb_past] behind a tree to [verb] myself. The alien emerged from the spaceship and asked me for a/an [noun]. I handed it over, and the alien thanked me before [verb_ing] back into the spaceship and flying off into the night sky.",false,true,false,0.70,1.00,2025-02-12 20:57:04.287323+00,2025-02-12 20:57:04.287323+00
2714,,Patrick Mahomes talking like Kermitt,Patrick Mahomes talking like Kermitt,"Hi-ho, [adjective] [noun] here! Today, I'm going to show you how to throw a football like a true [occupation]. First, you need to make sure your [body_part] is in the right position. Then, you want to grip the football with your [adjective_noun] and give it a good toss! Just like that, you'll be throwing touchdowns like a pro. Now, go out there and show them what you've got, [name]!",false,true,false,0.70,1.00,2025-02-12 20:57:11.423676+00,2025-02-12 20:57:11.423676+00
2715,,Lost in a Maze,Lost in a maze,"Once upon a time, I was [verb_ing] through a [adjective] maze when suddenly I heard a [noun] behind me. My heart started [verb_ing] as I tried to [verb] my way out of the maze. I turned a corner and came face to face with a [adjective] [noun] blocking my path. I quickly [adverb] [verb] in the opposite direction, hoping to find the [adjective] exit.",false,true,false,0.70,1.00,2025-02-12 20:57:11.753239+00,2025-02-12 20:57:11.753239+00
2716,,The Philidelphia Eagles Mad Lib,The Philidelphia Eagles,"The [adjective] [noun] flew over the [adjective] city of Philidelphia. They were on their way to [place] for a big game. The team was feeling [emotion] as they prepared to face their rivals. The fans in the stadium cheered loudly, hoping for a [adjective] victory.",false,true,false,0.70,1.00,2025-02-12 20:57:29.945886+00,2025-02-12 20:57:29.945886+00
2717,,Exploring the Band Hall,exploring the band hall,"One day, [adjective] [noun] and I decided to sneak into the band hall after school. As we tiptoed through the dark, [adjective] room, we could hear the faint sound of [plural_noun] coming from the practice rooms. Suddenly, we heard a loud crash and saw the [adjective] [noun] teacher emerge from behind a stack of music stands. We quickly [verb] out of the band hall before we got caught.",false,true,false,0.70,1.00,2025-02-12 20:57:46.911276+00,2025-02-12 20:57:46.911276+00
2718,,Valentine's Day Drama,Valentine's Day in Drama class,"It was Valentine's Day in drama class and everyone was feeling [adjective] about the upcoming performance. The teacher, Mrs. [last_name], announced that we would be performing a classic [genre] play. The lead role went to [female_name], who was known for her [adjective] acting skills. The male lead, [male_name], was a bit nervous but excited to play opposite of [female_name]. As the day of the performance approached, the drama class was filled with [emotion] and anticipation.",false,true,false,0.70,1.00,2025-02-12 20:58:00.136356+00,2025-02-12 20:58:00.136356+00
2719,,Blook Dies in Monster Brawl,Blook Dies in Monster Brawl,"Once upon a time, in a [place], there lived a [adjective] blook named [name]. [Name] was known for their love of [food] and their fear of [animal]. One day, [name] found themselves in the middle of a monster brawl between a [adjective] [animal] and a [adjective] [animal]. The brawl was so intense that [name] accidentally got caught in the middle and met their untimely demise.",false,true,false,0.70,1.00,2025-02-12 20:58:20.550594+00,2025-02-12 20:58:20.550594+00
2720,,The Murder at the Mansion,the murder at the .,"The [adjective] butler discovered the body of [a_noun] in the [room_of_the_house]. The [adjective] detective immediately began questioning the [occupation] and [a_noun] to uncover the truth. It was revealed that [a_noun] had a motive for the murder, leading to a dramatic confrontation in the [location] of the mansion.",false,false,false,0.70,1.00,2025-02-12 20:58:30.393027+00,2025-02-12 20:58:30.393027+00
2721,,The Skibidi Toilet Adventure,skibidi toilet,"Once upon a time, [adjective] aliens from the planet Skibidi landed their spaceship in the middle of a [noun] and decided to explore the human world. They stumbled upon a [adjective] toilet and couldn't believe their eyes. It was the most fascinating thing they had ever seen! They took [number] selfies with the toilet and even tried to [verb] it. The humans were puzzled by the aliens' fascination with the toilet, but they were friendly and offered to show them around town. The aliens eventually had to return to their spaceship, but they would never forget their unforgettable adventure with the skibidi toilet.",false,true,false,0.70,1.00,2025-02-12 20:58:37.211012+00,2025-02-12 20:58:37.211012+00
2722,,Brainrot Sentence,brainrot sentence,"I was feeling [adjective] so I decided to go to the [place] for some [noun]. As I walked into the [place], I saw a [adjective] [noun] and it made me [emotion].",false,true,false,0.70,1.00,2025-02-12 20:58:45.706632+00,2025-02-12 20:58:45.706632+00
2723,,The Abandoned Carnival Ride,The abandoned carnival ride,"One [adjective] evening, a group of friends decided to explore the creepy, abandoned carnival. As they walked through the dilapidated fairgrounds, they stumbled upon a [noun] covered in rust and cobwebs. Despite the eerie atmosphere, they couldn't resist hopping onto the [noun] and taking it for a spin. Little did they know, the [noun] was haunted by the ghost of a [adjective] clown, who cackled maniacally and sent chills down their spines.",false,false,false,1.00,1.00,2025-02-12 20:59:05.973319+00,2025-02-12 20:59:05.973319+00
2724,,Fire at the White House,fire at the white house,"Last night, a [adjective] fire broke out at the [noun] House. The fire department arrived quickly to extinguish the [adjective] flames, but not before the [plural_noun] had spread to the [noun] Room. Luckily, no one was injured and the damage was minimal. The cause of the fire is still under investigation.",false,true,false,0.70,1.00,2025-02-12 20:59:11.3454+00,2025-02-12 20:59:11.3454+00
2725,,The Wacky Party,party,"Last night, I went to a [adjective] party at my friend's [noun]. The music was [adjective] and the snacks were [adjective]. I couldn't believe how [adjective] the decorations were! Everyone was [verb_ing] and having a great time. I even met a [adjective] [noun] who told the funniest jokes. It was definitely a night to remember!",false,true,false,0.70,1.00,2025-02-12 20:59:32.566475+00,2025-02-12 20:59:32.566475+00
2726,,Wicked Witch Mad Lib,wicked,"Once upon a time, in a [place] far, far away, there lived a [adjective] witch. She was known for her [body_part] made of [material], and her [color] cat named [name]. One day, she cast a spell on [celebrity] and turned them into a [animal]. The whole kingdom was in [emotion] as they tried to reverse the spell.",false,true,false,0.70,1.00,2025-02-12 20:59:37.23684+00,2025-02-12 20:59:37.23684+00
2727,,My Weird Experience,My weird experience,"One day, I was walking through the [adjective] forest when I stumbled upon a [noun]. It was the size of a [animal] and had [color] fur. I couldn't believe my [body_part]! As I approached the creature, it began to [verb] and I quickly realized it was actually a [adjective] [noun]. I decided to [verb] away as fast as I could, but the [adjective] creature followed me all the way home.",false,true,false,0.70,1.00,2025-02-12 20:59:52.926821+00,2025-02-12 20:59:52.926821+00
2728,,Fornite,Fornite,"I was playing [adjective] games with my [noun] and we decided to jump into a game of Fortnite. We landed in [place] and immediately started [verb ending in -ing] for weapons. Suddenly, we heard someone [verb ending in -ing] towards us and we quickly built a [adjective] [noun] to protect ourselves. After a intense battle, we emerged victorious and did the [adjective] dance to celebrate our win.",false,true,false,0.70,1.00,2025-02-12 21:00:07.39129+00,2025-02-12 21:00:07.39129+00
2729,,Farting Fiasco,Josh is farting all over the school,"Josh, the [adjective] student, is causing a [adjective] commotion by [verb_ending_in_ing] all over the school. The [adjective] principal is on the lookout for the culprit, but Josh is [adverb] fleeing the scene of the crime. The [plural_noun] are in an uproar, and the janitorial staff is working overtime to [verb] up the mess.",false,true,false,0.70,1.00,2025-02-12 21:00:07.697887+00,2025-02-12 21:00:07.697887+00
2730,,Bruno Mars new song,Bruno Mars new song,"I can't believe [adjective] [plural_noun] is finally out! I've been waiting for this [adjective] album for months. When I first heard the [adjective] single, I knew it was going to be a hit. The [adjective] lyrics and [adjective] beat make it impossible not to dance. Bruno Mars really knows how to create a [adjective] song that everyone will love.",false,true,false,0.70,1.00,2025-02-12 21:00:10.501546+00,2025-02-12 21:00:10.501546+00
2731,,Super Bowl 2025 Mad Lib,SUPER BOWL 2025,"The Super Bowl [year] was an exciting event for all the [adjective] football fans out there. The [noun] were at the top of their game, with [number] touchdowns and [number] interceptions. The halftime show featured [celebrity] performing their latest hits, and the crowd went wild!",false,true,false,0.70,1.00,2025-02-12 21:00:14.15792+00,2025-02-12 21:00:14.15792+00
2732,,Fein Mad Lib,"fein ","I was [verb_past] in the park when I saw a [adjective] [noun] playing with a [noun_plural]. It was the most [adjective] thing I had ever seen. I decided to [verb] closer to get a better look, but as I approached, the [noun] suddenly [verb_past] away into the bushes. I couldn't believe my eyes!",false,true,false,0.70,1.00,2025-02-12 21:00:38.981543+00,2025-02-12 21:00:38.981543+00
2733,,Cat Exploration,cat exploration,"Today, my [adjective] cat, [adjective_noun], decided to go on a(n) [adjective] adventure. First, [name] sniffed around the [noun] and then [adverb] jumped onto the [adjective] [noun]. After that, [name] [verb] and [adverb] got stuck in a [adjective] tree! It was quite the [adjective] sight to see.",false,true,false,0.70,1.00,2025-02-12 21:00:45.249387+00,2025-02-12 21:00:45.249387+00
2734,,Panda Exploration,panda exploration,"Today, I went to the zoo and saw a [adjective] panda. It was [adjective] and [adjective]. I tried to [verb] it, but it just kept [verb] around. I also saw a [noun] [verb] next to the panda's enclosure. Overall, it was a [adjective] experience.",false,true,false,0.70,1.00,2025-02-12 21:00:47.858832+00,2025-02-12 21:00:47.858832+00
2735,,Ninja Low Taper Fade,imagine if ninja low taper fade,"Imagine if you were a [ninja]. You would have to be stealthy and quick, with the ability to [jump] from roof to roof without making a sound. Your weapon of choice would be the [katana], and you would have to be skilled in the art of [martial_arts].",false,true,false,0.70,1.00,2025-02-12 21:00:49.038836+00,2025-02-12 21:00:49.038836+00
2736,,The Very Strict School,the very strict school,"Once upon a time, at [an_adjective] school, the students were not allowed to [verb] during lunch. The [noun] in charge of the school was extremely [adjective] and would [verb] at anyone who dared to [verb] in the cafeteria. One day, a student decided to [verb] with their friends despite the strict rules, and chaos ensued. The [noun] had to [verb] the situation and implement even stricter rules to maintain order.",false,true,false,0.70,1.00,2025-02-12 21:01:16.411718+00,2025-02-12 21:01:16.411718+00
2737,,Low Taper Fade Mad Lib,Low taper fade,"I went to the barber to get a [adjective] low taper fade. As he was cutting my hair, he accidentally snipped off a chunk of hair from the [body_part]. I couldn't believe it! I ended up with a [adjective] patch right in the middle of my head. Despite the mishap, the barber managed to salvage the haircut and gave me a stylish [noun] on the side.",false,true,false,0.70,1.00,2025-02-12 21:01:26.585928+00,2025-02-12 21:01:26.585928+00
2738,,Lost in the Desert,Lost in the desert,"One day, I was [adjective] in the desert when I realized I had no [noun] left. I started to feel [emotion] and began to [verb] in circles. Suddenly, I spotted a [noun] in the distance and felt a surge of hope. I ran towards it, only to find that it was just a mirage.",false,true,false,0.70,1.00,2025-02-12 21:01:40.636995+00,2025-02-12 21:01:40.636995+00
2739,,The Great Kidnapping Caper,kidnapping sene,"One [adjective] evening, [name] was walking home from school when suddenly, a group of [plural_noun] emerged from the bushes and [verb] [him/her] into a van. [name] was blindfolded and taken to a [adjective] hideout in the middle of nowhere. The kidnappers demanded a ransom of [number] dollars for [name]'s safe return, but [he/she] managed to escape and outsmart the kidnappers, making [his/her] way back home in one piece.",false,true,false,0.70,1.00,2025-02-12 21:01:44.71287+00,2025-02-12 21:01:44.71287+00
2740,,Lost in a Dreamy Forest,Lost in a dreamy forest,"I went for a [adjective] walk in the [adjective] forest. The trees were [adjective] and the air was [adjective]. Suddenly, I spotted a [noun] hiding behind a [noun]. I approached it cautiously and realized it was a [animal]. It looked at me with its [adjective] eyes and I couldn't help but feel [emotion].",false,true,false,0.70,1.00,2025-02-12 21:02:09.38169+00,2025-02-12 21:02:09.38169+00
2741,,The Crazy Party,party,"Last night, I went to a [adjective] party with my [noun]. The music was so [adjective] that I couldn't help but [verb] all night long. I even met a [adjective] [noun] who had the most [adjective] sense of humor. We laughed so hard that we [verb] until our stomachs hurt. It was definitely a night to remember!",false,true,false,0.70,1.00,2025-02-12 21:02:11.532466+00,2025-02-12 21:02:11.532466+00
2742,,Ninja Haircut,"low taper fade ninja ","I went to the barber and asked for a [adjective] low_taper_fade. The barber used his [adjective] scissors to carefully trim and shape my hair. As he finished, I looked in the mirror and felt like a [noun]. I left the barber feeling [adjective] and ready to take on the world.",false,true,false,0.70,1.00,2025-02-12 21:02:33.638135+00,2025-02-12 21:02:33.638135+00
2743,,The Farting Contest,fart,"Once upon a time, in a [place], there was a [adjective] farting contest. The contestants had to eat [food] and then let out the loudest and smelliest fart. The judges were [name] and [name], who were known for their love of farts. The winner of the contest was [celebrity] with a deafening fart that made everyone run for cover.",false,true,false,0.70,1.00,2025-02-12 21:02:37.949561+00,2025-02-12 21:02:37.949561+00
2744,,Lost Unicorn in the City,Lost unicorn in city,"Yesterday, I was walking through the [city_name] when I stumbled upon a [adjective] unicorn! It was [color] and had a [noun] stuck in its horn. I couldn't believe my eyes! I quickly grabbed my [noun] and approached the unicorn. I gently removed the [noun] from its horn and the unicorn thanked me by granting me three wishes. It was the most [adjective] day of my life!",false,true,false,0.70,1.00,2025-02-12 21:02:50.773695+00,2025-02-12 21:02:50.773695+00
2745,,The Adventure of [a_famous_person],Bennett is female,"Once upon a time, [a_famous_person] went on a(n) [adjective] adventure. Along the way, [they] encountered a [animal] who [verb] [them] to [adverb] [verb] the [noun]. [a_famous_person] was [emotion] but bravely accepted the challenge. Eventually, [they] emerged victorious and returned home a hero.",false,true,false,0.70,1.00,2025-02-12 21:02:50.961307+00,2025-02-12 21:02:50.961307+00
2746,,Massive Low Taper Fade,Massive low taper fade,"I went to the barber for a [adjective] haircut. I asked for a massive low taper fade. The barber used a [noun] to give me a sharp line and blended the sides with a [adjective_noun]. After the haircut, I felt [emotion] and ready to show off my new look!",false,true,false,0.70,1.00,2025-02-12 21:02:53.243858+00,2025-02-12 21:02:53.243858+00
2747,,The Lost Treasure Map,A lost treasure map,"One day, while [adjective] through the [noun] forest, I stumbled upon an old, [adjective] map. The map seemed to lead to a hidden treasure buried deep within the [noun] mountains. Excitedly, I [verb] back to town to gather a group of [plural_noun] to embark on the treasure hunt. We followed the map's [adjective] clues and finally found the treasure hidden in a [noun] cave.",false,true,false,0.70,1.00,2025-02-12 21:03:01.77516+00,2025-02-12 21:03:01.77516+00
2748,,Kendrick Diss,kendrick diss,"When it comes to rap, [adjective] [plural_noun] don't stand a chance against Kendrick Lamar. His lyrics are [adjective] and his flow is [adjective]. He's the [superlative_adjective] rapper in the game right now, no one can touch him. [Noun] better step up their game if they want to compete with Kendrick.",false,true,false,0.70,1.00,2025-02-12 21:03:03.527365+00,2025-02-12 21:03:03.527365+00
2749,,The Hunt for Treasure,A lost treasure map,"Once upon a time, [a_famous_person] ventured into the deep jungle in search of [a_precious_gem]. As they trudged through the dense foliage, they stumbled upon [a_adjective] cave. Inside the cave, they found a dusty old chest filled with [a_plural_noun]. Excitedly, they realized that they had stumbled upon a long-lost treasure map. The map led them on a wild adventure, filled with dangerous obstacles and hidden clues, but in the end, they found the coveted treasure.",false,true,false,0.70,1.00,2025-02-12 21:03:20.243635+00,2025-02-12 21:03:20.243635+00
2750,,The Weird Mall,The Weird Mall,"Yesterday, I went to the [adjective] mall with my [family_member]. As soon as we walked in, we saw a [noun] wearing a [color] wig and dancing to the music. It was so [adjective] that we couldn't stop laughing. Then, we went to the [food] court and ordered some [plural_noun] to share. After that, we visited the [store] and bought a [adjective] [clothing_item]. It was definitely a [adjective] experience at the mall!",false,true,false,0.70,1.00,2025-02-12 21:03:30.773119+00,2025-02-12 21:03:30.773119+00
